tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
šâlu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s116_226,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s116_223,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s116_222,lišʾalšūma,pān,ina,http://oracc.org/saao/saa18/P237528,116,116,,,,,,,,,,,,,
epēšu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_105,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_104,īpušu,qātē,ina,http://oracc.org/saao/saa18/P238676,117,117,,,,,,,,,,,,,
buʾʾû,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_103,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_100,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_99,tubaʾʾa,qātē,ina,http://oracc.org/saao/saa18/P238676,117,117,,,,,,,,,,,,,
paqādu,muhhu,ištu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_47,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_42,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_41,ipqidannāši,muhhi,ultu,http://oracc.org/saao/saa18/P237046,118,118,,,,,,,,,,,,,Strange combination of PP's
nadānu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_120,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_119,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_118,ittanna,qātē,ina,http://oracc.org/saao/saa18/P238077,120,120,,,,,,,,,,,,,
šapāru,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_81,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_76,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_75,niltapar,muhhi,ana,http://oracc.org/saao/saa18/P237046,118,118,,,,,,,,,,,,,
amāru,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_117,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_112,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_111,nītamar,libbi,ina,http://oracc.org/saao/saa18/P236868,121,121,,,,,,,,,,,,,
amāru,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_117,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_119,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_118,nītamar,muhhi,ana,http://oracc.org/saao/saa18/P236868,121,121,,,,,,,,,,,,x,
ṣullû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_215,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_200,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_199,uṣallû,libbi,ina,http://oracc.org/saao/saa18/P238077,120,120,,,,,,,,,,,,,
šalāmu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_107,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_106,ušallam,qātē,ina,http://oracc.org/saao/saa18/P236868,121,121,"Marduk and Zarpanitu, your gods, whose feet you have grasped, will make the king, my lord, successful in whatever the king, my lord, does. (        
mim-ma ma-la LUGAL be-lí-a ip-pu-šú šu-nu-ma ina ŠU.2 LUGAL be-lí-ia ú-šal-la-am)",,,,,,Literal,,AJ,Basic+,,,šullumu X ina qāti Y = to make X thrive in the hands of Y; slightly literary?
šakānu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_237,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_235,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_234,iltakan,pān,ina,http://oracc.org/saao/saa18/P236868,121,121,,,,,,,,,,,,,
dabābu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_176,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_172,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_171,idabbub,muhhi,ana,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
qabû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_159,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_157,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_156,iqabbûma,pān,ina,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
šaṭāru,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_137,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_134,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_133,ašṭuru,libbi,ina,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
naṣāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_131,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_119,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_118,anamṣar,muhhi,ina,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
qabû,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_66,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_64,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_63,aqtabi,muhhi,ana,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
šakānu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_80,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_79,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_78,iltaknanni,qātē,ina,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
alāku,pānātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_88,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_84,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_83,allika,pānāt,ina,http://oracc.org/saao/saa18/P237765,123,123,,,,,,,,,,,,,
ṣabātu,šēpu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_93,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_90,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s123_89,aṣṣabat,šēpē,ina,http://oracc.org/saao/saa18/P237765,123,123,"grasped the feet of the king, my lord, (ina GÌR.2 LUGAL be-lí-ia aṣ-ṣa-bat)",,,,,,,,,,,,Unclear why there is 'ina' here unless it's a mistake
alāku,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_128,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_126,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_125,tallak,pānišunu,ana,http://oracc.org/saao/saa18/P237824,126,126,,,,,,,,,,,,,
šemû,pû,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_107,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_106,alteme,pî,ina,http://oracc.org/saao/saa18/P237824,126,126,,,,,,,,,,,,,
abāku,qātu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_105,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_101,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_100,ītabkūniššunūtu,qātē,ana,http://oracc.org/saao/saa18/P237824,126,126,,,,,,,,,,,,,
ṣabātu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_29,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s126_28,taṣbata,qātēka,ina,http://oracc.org/saao/saa18/P237824,126,126,,,,,,,,,,,,,
râmu,pû,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_22,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_16,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_15,irâmū,pîka,ina,http://oracc.org/saao/saa18/P237831,128,128,,,,,,,,,,,,x,
šaṭāru,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s129_14,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s129_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s129_11,iššaṭir,libbi,ina,http://oracc.org/saao/saa18/P240381,129,129,,,,,,,,,,,,,
mahāru,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_126,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_124,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_123,indaharšunūti,pān,ina,http://oracc.org/saao/saa18/P237800,136,136,,,,,,,,,,,,,
qabû,šulmu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_43,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_38,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_37,iqbû,šulum,ana,http://oracc.org/saao/saa18/P237800,136,136,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_26,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_25,ašappar,pān,ana,http://oracc.org/saao/saa18/P237988,138,138,,,,,,,,,,,,,
dabābu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_7,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_5,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s136_4,idbubū,pān,ina,http://oracc.org/saao/saa18/P237800,136,136,,,,,,,,,,,,,
šapāru,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_55,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_51,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_50,altapraššu,pānīšu,ina,http://oracc.org/saao/saa18/P237988,138,138,,,,,,,,,,,,,
aṣû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_42,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_41,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_40,ultēṣanni,pānīka,ina,http://oracc.org/saao/saa18/P237977,139,139,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_55,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_53,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_52,altapraššu,pān,ana,http://oracc.org/saao/saa18/P237988,138,138,,,,,,,,,,,,,
akālu,šulmu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_62,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_61,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_60,takkalā,šulmekunu,ina,http://oracc.org/saao/saa18/P237977,139,139,,,,,,,,,,,,,
dabābu,libbu,itti,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_104,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_103,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_102,idabbubū,libbišunu,itti,http://oracc.org/saao/saa18/P237258,140,140,,,,,,,,,,,,,
alāku,šulmu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_115,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_109,illikūnu,šulmu,ana,http://oracc.org/saao/saa18/P237258,140,140,,,,,,,,,,,,,
patāqu,libbu,itti,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_135,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_134,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s140_133,ipitqūnu,libbišunu,itti,http://oracc.org/saao/saa18/P237258,140,140,,,,,,,,,,,,,
epēšu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s141_84,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s141_79,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s141_78,ippušnāšu,libbi,ina,http://oracc.org/saao/saa18/P237328,141,141,,,,,,,,,,,,,
elû,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_128,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_127,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_126,elânimma,pānīya,ana,http://oracc.org/saao/saa18/P237965,144,144,,,,,,,,,,,,,
alāku,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_57,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_56,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_55,lillik,pānikunu,ina,http://oracc.org/saao/saa18/P237965,144,144,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_80,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_77,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_76,šupuraššūma,pān,ana,http://oracc.org/saao/saa18/P237965,144,144,,,,,,,,,,,,,
ṣabātu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_69,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_62,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_61,aṣṣabat,libbi,ina,http://oracc.org/saao/saa18/P237776,149,149,,,,,,,,,,,,,
mahāṣu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_32,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_31,indahaṣ,pānīšu,ina,http://oracc.org/saao/saa18/P237272,15,15,,,,,,,,,,,,,
našû,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_29,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_28,iššaʾ,muhhīya,ana,http://oracc.org/saao/saa18/P237776,149,149,,,,,,,,,,,,,
mahāṣu,pānātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s154_56,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s154_54,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s154_53,ultanhiṣ,pānāt,ina,http://oracc.org/saao/saa18/P238353,154,154,,,,,,,,,,,,,
malû,qātu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s156_48,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s156_47,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s156_46,undelli,qātēka,ana,http://oracc.org/saao/saa18/P238425,156,156,,,,,,,,,,,,,
alāku,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s145_67,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s145_64,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s145_63,ittalkū,libbi,ina,http://oracc.org/saao/saa18/P237812,145,145,,,,,,,,,,,,,
dalāpu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s150_421,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s150_423,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s150_422,idlip,qātē,ina,http://oracc.org/saao/saa18/P237177,150,150,,,,,,,,,,,,,
ṣabātu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_85,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_84,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_83,iṣṣabat,qātēšunu,ina,http://oracc.org/saao/saa18/P237272,15,15,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_101,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_98,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_97,nišapparšu,pān,ana,http://oracc.org/saao/saa18/P237965,144,144,,,,,,,,,,,,,
erēbu,libbu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_92,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_87,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_86,lirbū,libbi,ana,http://oracc.org/saao/saa18/P237776,149,149,,,,,,,,,,,,,
šarāhu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s150_155,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s150_154,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s150_153,ultarrihū,muhhīya,ina,http://oracc.org/saao/saa18/P237177,150,150,,,,,,,,,,,,,
elû,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_53,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_51,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_50,ētelaʾ,pān,ana,http://oracc.org/saao/saa18/P237776,149,149,,,,,,,,,,,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_20,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_17,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_16,išappar,pān,ana,http://oracc.org/saao/saa18/P237272,15,15,,,,,,,,,,,,,
šalāmu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s158_167,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s158_166,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s158_165,ultallimū,qātēya,ina,http://oracc.org/saao/saa18/P236871,158,158,,,,,,,,,,,,,
wabālu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_68,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s15_62,ultēbila,qātē,ina,http://oracc.org/saao/saa18/P237272,15,15,,,,,,,,,,,,,
naṣāru,libbu,ištu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s158_41,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s158_31,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s158_30,ittaṣrū,libbi,ultu,http://oracc.org/saao/saa18/P236871,158,158,,,,,,,,,,,,,
etēqu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s175_81,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s175_79,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s175_78,nušētiqu,pānīnu,ina,http://oracc.org/saao/saa18/P237552,175,175,,,,,,,,,,,,,
qerēbu,muhhu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s177_84,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s177_83,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s177_82,uqtarribū,muhhišunu,ana,http://oracc.org/saao/saa18/P236962,177,177,,,,,,,,,,,,,
wabālu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_53,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_48,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_47,ultēbila,qātē,ina,http://oracc.org/saao/saa18/P237324,181,181,,,,,,,,,,,,,
maqātu,libbu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_44,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_42,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_41,imqutū,libbi,ana,http://oracc.org/saao/saa18/P237197,165,165,,,,,,,,,,,,,
šanû,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s164_94,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s164_89,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s164_88,ilteni,muhhi,ina,http://oracc.org/saao/saa18/P238758,164,164,,,,,,,,,,,,,
